iter	RMSE
186	10.34409556
187	10.32329183
188	10.30495822
189	10.27425914
190	10.25699934
191	10.24200634
192	10.21719062
193	10.20051391
194	10.18269693
195	10.16380595
196	10.14561931
197	10.13262606
198	10.11257777
199	10.09636748
200	10.08244884
201	10.06316601
202	10.04914677
203	10.02302634
204	10.00886286
205	9.986362981
206	9.96728908
207	9.955948339
208	9.941654558
209	9.927539932
210	9.912289562
211	9.900087035
212	9.885412706
213	9.862617577
214	9.843025241
215	9.823677279
216	9.814108179
217	9.804099467
218	9.787837511
219	9.778250183
220	9.770182637
221	9.765186605
222	9.751004057
223	9.743098094
224	9.737931035
225	9.712826856
226	9.701830629
227	9.689644019
228	9.681317268
229	9.674986281
230	9.665167297
231	9.664144887
232	9.648213822
233	9.639495993
234	9.631594771
235	9.616193512
236	9.602087907
237	9.589221993
238	9.584336181
239	9.580165161
240	9.57297588
241	9.549557451
242	9.541497824
243	9.531631033
244	9.523282051
245	9.509991017
246	9.497286323
247	9.492245565
248	9.481724115
249	9.471807295
250	9.461654807
251	9.441794535
252	9.430525836
253	9.424296605
254	9.413899061
255	9.397741779
256	9.384834099
257	9.373132383
258	9.355280179
259	9.338930187
260	9.330998607
261	9.330174278
262	9.318099724
263	9.312530574
264	9.299606791
265	9.281889409
266	9.269724761
267	9.251921558
268	9.240365756
269	9.233430078
270	9.217590924
271	9.207487838
272	9.191314454
273	9.184898948
274	9.172373829
275	9.165594205
276	9.156089571
277	9.138570014
278	9.129836691
279	9.124476889
280	9.107135163
281	9.10191118
282	9.086988821
283	9.078904969
284	9.064689383
285	9.055822181
286	9.048437364
287	9.040951894
288	9.023982135
289	9.012767562
290	9.002300227
291	8.995529602
292	8.987509256
293	8.984669753
294	8.976215391
295	8.964716156
296	8.955288397
297	8.94896889
298	8.942351103
299	8.935674891
300	8.924689917
301	8.919185066
302	8.918073665
303	8.902579759
304	8.892474156
305	8.876140603
306	8.870427569
307	8.857087436
308	8.852535118
309	8.849365612
310	8.843265825
311	8.839497672
312	8.837966652
313	8.835468251
314	8.822252387
315	8.812174278
316	8.804623648
317	8.802147824
318	8.798076692
319	8.79094685
320	8.780419292
321	8.770071389
322	8.763144532
323	8.757207474
324	8.748975445
325	8.741082835
326	8.736317675
327	8.731508667
328	8.725256742
329	8.724129143
330	8.707830666
331	8.693696693
332	8.69148826
333	8.679959446
334	8.670641256
335	8.666207618
336	8.648830549
337	8.644286213
338	8.638332179
339	8.631691959
340	8.628331305
341	8.622526718
342	8.608462036
343	8.599794889
344	8.597575328
345	8.586798331
346	8.573613223
347	8.562257363
348	8.556694313
349	8.551280323
350	8.545295384
351	8.54017478
352	8.532959429
353	8.530848912
354	8.521155543
355	8.512486788
356	8.510479329
357	8.503126137
358	8.49428089
359	8.485543092
360	8.479263269
361	8.475175206
362	8.469134091
363	8.465227053
364	8.462726539
365	8.45101592
366	8.449172153
367	8.447118463
368	8.443376919
369	8.432072179
370	8.430084016
371	8.427291321
372	8.417081763
373	8.408985336
374	8.401140605
375	8.395545181
376	8.39008434
377	8.388368409
378	8.380269246
379	8.371751251
380	8.365169131
381	8.36350005
382	8.35556396
383	8.347529672
384	8.335862874
385	8.32806764
386	8.320168742
387	8.312368597
388	8.304863521
389	8.301207463
390	8.294007186
391	8.288963319
392	8.285138475
393	8.278220544
394	8.26613373
395	8.264566239
396	8.260358212
397	8.252071143
398	8.248448923
399	8.24693479
400	8.239763522
401	8.233976749
402	8.230792491
403	8.229330797
404	8.227899204
405	8.224197369
406	8.213969806
407	8.208419401
408	8.201955658
409	8.192495813
410	8.183059273
411	8.175271618
412	8.172137482
413	8.166523588
414	8.15749761
415	8.154470118
416	8.151094525
417	8.142197143
418	8.137246567
419	8.135611616
420	8.128773522
421	8.120812615
422	8.113128525
423	8.105821713
424	8.100585248
425	8.09309624
426	8.084502097
427	8.081839615
428	8.076428655
429	8.070015832
430	8.064869776
431	8.062183225
432	8.055176267
433	8.052566246
434	8.046343713
435	8.040066933
436	8.034967121
437	8.025024051
438	8.018268463
439	8.013539312
440	8.006996466
441	8.00209807
442	7.995633774
443	7.98839878
444	7.983978828
445	7.977486903
446	7.972862299
447	7.968378013
448	7.965975893
449	7.961603373
450	7.95928062
451	7.950715581
452	7.94800683
453	7.938596366
454	7.931524598
455	7.925525612
456	7.918945509
457	7.909900294
458	7.906107345
459	7.89983609
460	7.895814324
461	7.889960373
462	7.884619755
463	7.878281605
464	7.873435796
465	7.871233887
466	7.866358271
467	7.861353213
468	7.856144188
469	7.850869518
470	7.848750413
471	7.845639662
472	7.837776049
473	7.833414691
474	7.82920616
475	7.825873318
476	7.821339177
477	7.81684349
478	7.812944081
479	7.809751236
480	7.805578519
481	7.799923282
482	7.795870787
483	7.79141805
484	7.786833468
485	7.780857655
486	7.776395959
487	7.772149751
488	7.766740259
489	7.762853009
490	7.759836915
491	7.75542572
492	7.750264654
493	7.746408899
494	7.742901923
495	7.740094751
496	7.737390337
497	7.733395217
498	7.729670814
499	7.720667654
500	7.717033241
501	7.713940212
502	7.708969076
503	7.706389904
504	7.70264016
505	7.697817288
506	7.692458734
507	7.687556675
508	7.683851823
509	7.678727746
510	7.672852843
511	7.666802335
512	7.662082131
513	7.657437379
514	7.652256188
515	7.64798033
516	7.644451092
517	7.639923686
518	7.638686455
519	7.635315483
520	7.630387991
521	7.627025229
522	7.623658097
523	7.618060275
524	7.616934462
525	7.613785161
526	7.609501231
527	7.603599603
528	7.59816892
529	7.593717092
530	7.589664479
531	7.585572499
532	7.572510555
533	7.566627015
534	7.562708848
535	7.559441843
536	7.554173231
537	7.546792312
538	7.541634849
539	7.536507845
540	7.531769668
541	7.526789526
542	7.517952766
543	7.512458463
544	7.503768078
545	7.498786099
546	7.495009833
547	7.490184485
548	7.48567961
549	7.48188502
550	7.478035592
551	7.47229276
552	7.469890445
553	7.465991916
554	7.464955598
555	7.459339732
556	7.455696933
557	7.45097242
558	7.443583366
559	7.438991014
560	7.434697959
561	7.428134798
562	7.424497934
563	7.416382631
564	7.410943917
565	7.402898742
566	7.395139382
567	7.388994627
568	7.385426051
569	7.377780508
570	7.372190027
571	7.364302234
572	7.360811375
573	7.356220971
574	7.350387194
575	7.342264214
576	7.335250922
577	7.330296936
578	7.326219621
579	7.319034821
580	7.315614356
581	7.312269455
582	7.303844695
583	7.29417131
584	7.288920321
585	7.284607105
586	7.279159006
587	7.273547745
588	7.264685535
589	7.259465559
590	7.256066728
591	7.250993919
592	7.242584626
593	7.241647834
594	7.236764549
595	7.235845691
596	7.230703284
597	7.226166389
598	7.223428468
599	7.218437331
600	7.211845959
601	7.206992306
602	7.202251233
603	7.197071511
604	7.192576119
605	7.189198212
606	7.184218727
607	7.180610012
608	7.177061731
609	7.169962602
610	7.166813999
611	7.163325555
612	7.157355375
613	7.149228857
614	7.14487675
615	7.139899325
616	7.133902749
617	7.129332227
618	7.128487672
619	7.120564648
620	7.114748285
621	7.109985363
622	7.105348116
623	7.102635896
624	7.096194196
625	7.090560434
626	7.086034704
627	7.080199715
628	7.076296579
629	7.069529409
630	7.066966868
631	7.064669409
632	7.057747963
633	7.054310382
634	7.048912234
635	7.044239914
636	7.039900814
637	7.037692306
638	7.031905128
639	7.025173833
640	7.020009407
641	7.016568625
642	7.01321242
643	7.010818622
644	7.007539146
645	7.004339808
646	6.998203057
647	6.992837054
648	6.986286163
649	6.983154747
650	6.978393941
651	6.972610454
652	6.967857029
653	6.964276363
654	6.958914339
655	6.956723162
656	6.952211348
657	6.948334846
658	6.943340186
659	6.940166836
660	6.93572417
661	6.930919353
662	6.926290553
663	6.924198508
664	6.922218454
665	6.917313336
666	6.912836864
667	6.906970229
668	6.902967964
669	6.899805758
670	6.89532359
671	6.889603647
672	6.886712224
673	6.882648996
674	6.877493091
675	6.874834483
676	6.869975
677	6.863728548
678	6.858525207
679	6.853510963
680	6.851495376
681	6.846598753
682	6.843450039
683	6.838442497
684	6.832528141
685	6.828525822
686	6.82437843
687	6.819678812
688	6.814912293
689	6.812354199
690	6.807755283
691	6.804482978
692	6.80266784
693	6.798444311
694	6.795312917
695	6.79275906
696	6.788248014
697	6.784593176
698	6.78134885
699	6.779420414
700	6.77621344
701	6.7716932
702	6.767474135
703	6.763524641
704	6.757941976
705	6.754052414
706	6.749441856
707	6.745924235
708	6.741909781
709	6.737340061
710	6.733155026
711	6.728803005
712	6.726065706
713	6.720651586
714	6.716243532
715	6.711967154
716	6.708565119
717	6.705271733
718	6.701231056
719	6.695992053
720	6.692825355
721	6.689396365
722	6.686013145
723	6.681730372
724	6.678614534
725	6.675396577
726	6.672123103
727	6.668831411
728	6.664937792
729	6.661071765
730	6.659199917
731	6.655329751
732	6.650239455
733	6.646354388
734	6.643348836
735	6.640074118
736	6.636866438
737	6.634507271
738	6.630833294
739	6.625179388
740	6.622044231
741	6.61850568
742	6.615094319
743	6.613142847
744	6.609200283
745	6.605916345
746	6.603084329
747	6.600011233
748	6.59508477
749	6.591972868
750	6.588807987
751	6.585876896
752	6.581144721
753	6.578594297
754	6.575577101
755	6.572620703
756	6.570984323
757	6.568087418
758	6.565758864
759	6.560541355
760	6.557439526
761	6.552725664
762	6.549880523
763	6.545331435
764	6.542541022
765	6.539763986
766	6.536026447
767	6.533289024
768	6.529347928
769	6.526677623
770	6.524060268
771	6.520660572
772	6.517331914
773	6.51499739
774	6.51232439
775	6.510507977
776	6.508755853
777	6.504626037
778	6.500650956
779	6.497583038
780	6.493795144
781	6.490008068
782	6.486610894
783	6.48185334
784	6.478219357
785	6.474284015
786	6.471714868
787	6.468518516
788	6.465999568
789	6.463915439
790	6.460089631
791	6.457826369
792	6.455667564
793	6.453341007
794	6.449618809
795	6.446601263
796	6.444142835
797	6.44274396
798	6.439353971
799	6.436992851
800	6.432541912
801	6.429069516
802	6.427775607
803	6.425479337
804	6.423407779
805	6.42204898
806	6.418676007
807	6.417637963
808	6.41437057
809	6.411709828
810	6.407211557
811	6.404809711
812	6.404118112
813	6.399729735
814	6.397039728
815	6.394680945
816	6.39416655
817	6.39053301
818	6.388217683
819	6.385208362
820	6.380589322
821	6.378335593
822	6.374710939
823	6.37151316
824	6.368051387
825	6.363877657
826	6.358599097
827	6.356970903
828	6.355224729
829	6.353946656
830	6.35120333
831	6.348144471
832	6.346051942
833	6.345048794
834	6.342904096
835	6.339972349
836	6.335594314
837	6.331925862
838	6.329755272
839	6.325450688
840	6.323316659
841	6.319635582
842	6.317961837
843	6.315935316
844	6.311769071
845	6.307802122
846	6.305847799
847	6.302516603
848	6.299463008
849	6.29558582
850	6.2918432
851	6.289728961
852	6.286089998
853	6.282576512
854	6.277097569
855	6.274120311
856	6.272262622
857	6.270634533
858	6.264684278
859	6.260281709
860	6.25690043
861	6.256329039
862	6.251123312
863	6.24914405
864	6.243521738
865	6.24002814
866	6.238412932
867	6.236109567
868	6.232347244
869	6.230919434
870	6.228637377
871	6.227554495
872	6.226275913
873	6.222725451
874	6.219918744
875	6.215872153
876	6.21034534
877	6.207614135
878	6.203013606
879	6.199673557
880	6.196924343
881	6.194383199
882	6.19194302
883	6.188701968
884	6.185543704
885	6.182753022
886	6.180516852
887	6.179083475
888	6.175349748
889	6.170481752
890	6.167693782
891	6.162697156
892	6.159183737
893	6.156458494
894	6.155474767
895	6.15240974
896	6.149744466
897	6.147564988
898	6.144833845
899	6.140153312
900	6.139680872
901	6.137845136
902	6.132469484
903	6.128068874
904	6.124657241
905	6.121369215
906	6.117952632
907	6.11382078
908	6.110503191
909	6.106794313
910	6.103208349
911	6.102391452
912	6.099830867
913	6.097533961
914	6.095058393
915	6.093748387
916	6.089786109
917	6.086629957
918	6.084078399
919	6.07849219
920	6.076430637
921	6.074992714
922	6.068934867
923	6.067022832
924	6.064728487
925	6.061844094
926	6.059805307
927	6.056995862
928	6.053115833
929	6.050719717
930	6.048937096
931	6.047504043
932	6.045037757
933	6.04207741
934	6.038967954
935	6.03655552
936	6.03405793
937	6.03194486
938	6.028858964
939	6.023903007
940	6.019544531
941	6.017178371
942	6.014204244
943	6.011087862
944	6.008706088
945	6.004925999
946	6.002881339
947	5.99863933
948	5.996239036
949	5.994044724
950	5.988852817
951	5.986963475
952	5.984267322
953	5.98059382
954	5.976601049
955	5.97434458
956	5.972252558
957	5.969578693
958	5.967605626
959	5.965302111
960	5.964134451
961	5.959140717
962	5.95689187
963	5.954284505
964	5.952058097
965	5.947276729
966	5.945429068
967	5.941547506
968	5.939953697
969	5.937342709
970	5.935315425
971	5.933758151
972	5.930778439
973	5.928419611
974	5.926747382
975	5.924609362
976	5.92376214
977	5.919044199
978	5.917732133
979	5.915768521
980	5.913457658
981	5.909669453
982	5.906865057
983	5.904671432
984	5.902925283
985	5.900717185
986	5.899905226
987	5.898271134
988	5.897017478
989	5.895679061
990	5.893821952
991	5.89274786
992	5.886934622
993	5.88481412
994	5.882944136
995	5.880937799
996	5.879166444
997	5.875666835
998	5.872136069
999	5.870455012
